Year,Change to 2017,,
1913,23.76,,
1914,23.51,,
1915,23.27,,
1916,21.49,,
1917,18.15,,
1918,15.34,,
1919,13.17,,
1920,11.26,,
1921,12.69,,
1922,13.59,,
1923,13.33,,
1924,13.33,,
1925,13.01,,
1926,12.85,,
1927,13.09,,
1928,13.25,,
1929,13.25,,
1930,13.68,,
1931,15.13,,
1932,17.02,,
1933,18.00,,
1934,17.29,,
1935,16.89,,
1936,16.63,,
1937,16.02,,
1938,16.38,,
1939,16.63,,
1940,16.51,,
1941,15.67,,
1942,14.04,,
1943,13.17,,
1944,12.93,,
1945,12.62,,
1946,11.57,,
1947,9.99,,
1948,9.21,,
1949,9.30,,
1950,9.17,,
1951,8.43,,
1952,8.21,,
1953,8.15,,
1954,8.11,,
1955,8.15,,
1956,8.01,,
1957,7.72,,
1958,7.48,,
1959,7.39,,
1960,7.28,,
1961,7.20,,
1962,7.09,,
1963,7.01,,
1964,6.91,,
1965,6.78,,
1966,6.54,,
1967,6.34,,
1968,6.04,,
1969,5.68,,
1970,5.32,,
1971,5.05,,
1972,4.86,,
1973,4.52,,
1974,3.97,,
1975,3.56,,
1976,3.31,,
1977,3.04,,
1978,2.76,,
1979,2.38,,
1980,1.97,,
1981,1.70,,
1982,1.54,,
1983,1.46,,
1984,1.36,,
1985,1.28,,
1986,1.24,,
1987,1.16,,
1988,1.07,,
1989,0.98,,
1990,0.88,,
1991,0.80,,
1992,0.75,,
1993,0.70,,
1994,0.65,,
1995,0.61,,
1996,0.56,,
1997,0.53,,
1998,0.50,,
1999,0.47,,
2000,0.42,,
2001,0.38,,
2002,0.36,,
2003,0.33,,
2004,0.30,,
2005,0.25,,
2006,0.22,,
2007,0.18,,
2008,0.14,,
2009,0.14,,
2010,0.12,,
2011,0.09,,
2012,0.07,,
2013,0.05,,
2014,0.04,,
2015,0.03,,
2016,0.02,,
2017,0.00,,
,,,
,,,
,,,
,,,
,,,1
